rank;name;headquarter;category;description;link;year;plz;kanton;lan;lon
13;ProteoMediX AG;Schlieren;Biotech;Markers for prostate cancer;https://www.top100startups.swiss/ProteoMediX;2013;8952;ZH;8.449001596;47.39503416
14;Malcisbo AG;Schlieren;Biotech;Platform to identify carbohydrate targets in pathogenic organisms;https://www.top100startups.swiss/Malcisbo;2013;8952;ZH;8.449001596;47.39503416
15;SWISSto12 SA;Renens;Engineering;Disruptive antenna systems for the telecoms industry.;https://www.top100startups.swiss/SWISSto12;2013;1020;VD;6.589670167;46.53527951
16;Aleva Neurotherapeutics SA;Lausanne;Medtech;Better therapies for neurological diseases;https://www.top100startups.swiss/Aleva;2013;1011;VD;6.643319582;46.52555634
17;Coople (Schweiz) AG ;ZÃ¼rich;ICT;Internet platform for the efficient management of short notice and short-term work assignments;https://www.top100startups.swiss/Coople;2013;8002;ZH;8.532739248;47.36007156
18;joiz AG;ZÃ¼rich;ICT;This television station, which links the world of TV with Web 2.0 and targets viewers between the ages of 15 and 35, has gotten off to a good start.;https://www.top100startups.swiss/joiz;2013;8002;ZH;8.532739248;47.36007156
19;AÃ¯mago SAÂ  (acquired by Novadaq);Lausanne;Medtech;Taking the Guesswork out of Tissue Perfusion Assessment.;https://www.top100startups.swiss/Aimago;2013;1011;VD;6.643319582;46.52555634
20;faceshift AG (acquired by Apple);Cupertino, California;ICT;Technology for facial expression recognition to enact virtual characters in real-time.;https://www.top100startups.swiss/faceshift;2013;#NV;#NV;#NV;#NV
21;Parking Solutions GmbH (acquired by SBB);;ICT;A marketplace that enables short-term rent of private and corporate parking spots through a mobile phone app.;https://www.top100startups.swiss/Parking;2013;#NV;#NV;#NV;#NV
22;Glycemicon AG;Brugg;Biotech;Managing blood glucose levels;https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7498;2013;5200;AG;8.211196526;47.48639705
23;Adello AG;ZÃ¼rich;ICT;Our mission is to quantify the drivers of physical business.;https://www.top100startups.swiss/Adello;2013;8002;ZH;8.532739248;47.36007156
24;BugBuster SÃ rl (acquired by AppDynamics);Ecublens;ICT;Bug Buster offers a fully automated and easy to use software testing solution for Web applications;https://www.top100startups.swiss/BugBuster;2013;1024;VD;6.55861492;46.52883079
25;TrekkSoft AG;Interlaken;ICT;SaaS solution for tour and activity companies;https://www.top100startups.swiss/TrekkSoft;2013;3800;BE;7.865961168;46.68673793
26;Climeworks AG;ZÃ¼rich;Cleantech;Capturing CO2 from air;https://www.top100startups.swiss/Climeworks;2013;8002;ZH;8.532739248;47.36007156
27;Jilion SA (acquired by Dailymotion);Lausanne;ICT;The creator of SublimeVideo, the world's first cloud-based HTML5 video player.;https://www.top100startups.swiss/Jilion;2013;1011;VD;6.643319582;46.52555634
28;Gastros Switzerland AG;Zurich;Foodtech;Innovative system induction based in order to keep food warm at a buffet;https://www.top100startups.swiss/Gastros;2013;8001;ZH;8.541734555;47.37208749
29;Sherpany AG;ZÃ¼rich;ICT;Productive leadership meetings;https://www.top100startups.swiss/Sherpany;2013;8002;ZH;8.532739248;47.36007156
30;THE ROKKER COMPANY AG;Widnau;Engineering;Protection jeans with innovative textiles;https://www.top100startups.swiss/ROKKER;2013;9443;SG;9.637592504;47.40070612
31;Limmex;ZÃ¼rich;Engineering;Bringing women's health to the 21st century;https://www.top100startups.swiss/Limmex;2013;8002;ZH;8.532739248;47.36007156
32;CleanGreens Solutions SA;Molondin;Foodtech;Innovative farming solutions;https://www.top100startups.swiss/CleanGreens;2013;1415;VD;6.747802463;46.76309741
33;Mabimmune AG (merged with Neurimmune);Schlieren;Biotech;Developing immune agonists with best-in-class therapeutic indices;https://www.top100startups.swiss/Mabimmune;2013;8952;ZH;8.449001596;47.39503416
34;compliant concept AG;Fehraltorf;Medtech;New solution for the therapy and prevention of pressure ulcers;https://www.top100startups.swiss/Compliant;2013;8320;ZH;8.750000375;47.38704552
35;Credentis AG;Windisch;Medtech;Treating initial caries without drilling;https://www.top100startups.swiss/Credentis;2013;5210;AG;8.222148838;47.47585335
36;Lightbend SÃ rl (Typesafe);Lausanne;ICT;Scala programming language;https://www.top100startups.swiss/Lightbend;2013;1011;VD;6.643319582;46.52555634
37;YouRehab;Schlieren;Medtech;Low-cost devices and entertaining gaming software to enable rehabilitation;https://www.top100startups.swiss/YouRehab;2013;8952;ZH;8.449001596;47.39503416
38;Scope Content AG;ZÃ¼rich;ICT;The new generation of news aggregator a unique semantic text analysis engine;https://www.top100startups.swiss/scope;2013;8002;ZH;8.532739248;47.36007156
39;ActLight SA;Ecublens;Engineering;Developing high performance photodetectors for mobile applications;https://www.top100startups.swiss/ActLight;2013;1024;VD;6.55861492;46.52883079
40;Sensima Technology SA ;Gland;Engineering;Magnetic sensors on a micro-chip;https://www.top100startups.swiss/Sensima_Technology;2013;1196;VD;6.286690157;46.41041562
41;Sophia Genetics SA;Lausanne;Biotech;Democratizing Data-Driven Medicine;https://www.top100startups.swiss/Sophia;2013;1011;VD;6.643319582;46.52555634
42;Ampard AG ;ZÃ¼rich;Cleantech;Control- and asset-management system to realize complex decentralized storage solutions;https://www.top100startups.swiss/Ampard;2013;8002;ZH;8.532739248;47.36007156
43;Smixin AG;Biel/Bienne;Cleantech;New hand washing system;https://www.top100startups.swiss/Smixin;2013;2502;BE;7.247254526;47.14889206
44;Politnetz AG;ZÃ¼rich;ICT;Closely related idea of using Web 2.0 for politics;https://www.top100startups.swiss/Politnetz;2013;8002;ZH;8.532739248;47.36007156
45;MindMaze SA;Lausanne;Medtech;Bringing real emotion to virtual reality;https://www.top100startups.swiss/MindMaze;2013;1011;VD;6.643319582;46.52555634
46;Stemergie Biotechnology SA;Geneva;Biotech;Targeting the roots of cancer in developing treatments and diagnostics;https://www.top100startups.swiss/Stemergie;2013;1208;GE;6.167579743;46.19844394
47;Swisstom AG ;Landquart;Medtech;Medical devices to monitor the lung and heart function of patients;https://www.top100startups.swiss/Swisstom;2013;7302;GR;9.577188353;46.96162552
48;Zurich Instruments AG;ZÃ¼rich;Engineering;Instruments for dynamic signal analysis;https://www.top100startups.swiss/zurichinstruments;2013;8002;ZH;8.532739248;47.36007156
49;HYT SA;Neuchatel;Engineering;The hydro mechanical horlogists;https://www.top100startups.swiss/HYT;2013;2000;NE;6.941331265;46.98844504
50;SwissLitho AG (acquired by Heidelberg Instruments);ZÃ¼rich;Engineering;A novel technology for nanofabrication;https://www.top100startups.swiss/SwissLitho;2013;8002;ZH;8.532739248;47.36007156
51;SwissLeg Sagl;Lugano;Medtech;Developing low-cost, high-performance artificial limbs;https://www.top100startups.swiss/SwissLeg;2013;6900;TI;8.95447212;46.00539321
52;SAV-IOL SA;Neuchatel;Medtech;Swiss advanced vision-intraocular lens;https://www.top100startups.swiss/SAV-IOL;2013;2000;NE;6.941331265;46.98844504
53;Qvanteq AG;ZÃ¼rich;Medtech;Novel stent technologies to address and overcome clinical shortcomings;https://www.top100startups.swiss/Qvanteq;2013;8002;ZH;8.532739248;47.36007156
54;Koring AG;Basel;Medtech;Novel, implantable ring to prevent parastomal hernia in abdominal surgery.;https://www.top100startups.swiss/Koring;2013;4051;BS;7.586450708;47.55404534
55;greenTEG AG;RÃ¼mlang;Cleantech;Experts in thermal sensing solutions for research & industry;https://www.top100startups.swiss/greenTEG;2013;8153;ZH;8.528807372;47.44750791
56;CAScination AG;Bern;Medtech;Image-guided liver surgeries;https://www.top100startups.swiss/CAScination;2013;3004;BE;7.450025042;46.97530372
57;DomoHealth;Lausanne;ICT;End-to-end SaaS solution to monitor patientâ€™s health at home;https://www.top100startups.swiss/DomoHealth;2013;1011;VD;6.643319582;46.52555634
58;Koubachi ;zurich;ICT;App to manage home plants;https://www.top100startups.swiss/Koubachi;2013;8001;ZH;8.541734555;47.37208749
59;ParkU AG;ZÃ¼rich;ICT;ParkU - The Parking App;https://www.top100startups.swiss/ParkUAG;2013;8002;ZH;8.532739248;47.36007156
60;LogoGrab Sagl;Lugano;ICT;Like. In real life.;https://www.top100startups.swiss/LogoGrab;2013;6900;TI;8.95447212;46.00539321
61;Recommerce AG;Rotkreuz;ICT;Buys, repairs and resells mobile phones, tablets and iPods;https://www.top100startups.swiss/recommerce;2013;6343;ZG;8.451044791;47.14458018
62;Designergy SA;Chur;Cleantech;Building construction material that implements both solar energy exploitation and energy saving functions;https://www.top100startups.swiss/Designergy;2013;7000;GR;9.529881575;46.85280484
63;Searchbox SA;;ICT;Semantic engine software.;https://www.top100startups.swiss/Searchbox;2013;#NV;#NV;#NV;#NV
64;Coatmaster AG;Winterthur;Engineering;Measuring industrial coatings;https://www.top100startups.swiss/Coatmaster;2013;8405;ZH;8.776009743;47.47804737
65;Lotaris SA;Yverdon-les-Bains;ICT;A thinking mobile app environment.;https://www.top100startups.swiss/Lotaris;2013;1400;VD;6.638517507;46.77623872
66;Optotune AG;Dietikon;Engineering;Inexpensive, scalable, precisely focus tunable lenses based;https://www.top100startups.swiss/Optotune;2013;8953;ZH;8.398064875;47.40203665
67;Iprova SÃ rl;Lausanne;ICT;Computer assisted invention;https://www.top100startups.swiss/Iprova;2013;1011;VD;6.643319582;46.52555634
68;Attolight SA;Lausanne;Engineering;Ultrafast spectroscopy for NanoPhotonics;https://www.top100startups.swiss/Attolight;2013;1011;VD;6.643319582;46.52555634
69;NBE-Therapeutics LLC ;Basel;Biotech;Antibody-based NBEs;https://www.top100startups.swiss/NBE-Therapeutics;2013;4051;BS;7.586450708;47.55404534
70;PharmAlp SA;Conthey;Biotech;Develop and market products of natural origin backed-up by sound-science;https://www.top100startups.swiss/PharmAlp;2013;1964;VS;7.302953875;46.22136355
71;SuitArt AG ;ZÃ¼rich;ICT;Franchising System for Custom-made Men's Suit.;https://www.top100startups.swiss/SuitArt;2013;8002;ZH;8.532739248;47.36007156
72;Elmove AG;ZÃ¼rich;Cleantech;Innovative electric mobility solutions.;https://www.top100startups.swiss/Elmove;2013;8002;ZH;8.532739248;47.36007156
73;THELKIN GmbH;Winterthur;Medtech;Characterization of orthopaedic implants and other medical devices;https://www.top100startups.swiss/THELKIN;2013;8405;ZH;8.776009743;47.47804737
74;flatev AG;ZÃ¼rich;Foodtech;Reinventing the Future of Snacks at the tip of a button;https://www.top100startups.swiss/flatev;2013;8002;ZH;8.532739248;47.36007156
75;Distalmotion SA;Epalinges;Medtech;Making Sense of Robotic Surgery;https://www.top100startups.swiss/DistalMotion;2013;1066;VD;6.668508946;46.55070386
76;Andrew Alliance SA ;Vernier;Medtech;Androids for liquid handling;https://www.top100startups.swiss/AndrewAlliance;2013;1214;GE;6.079550421;46.21390365
77;Koemei SA ;Martigny;ICT;Worldâ€™s first cloud based speech recognition solution specifically designed for multiparty conversations;https://www.top100startups.swiss/Koemei;2013;1920;VS;7.074542101;46.1094551
78;EverdreamSoft SA;GenÃ¨ve;ICT;Simple, ergonomic and innovative products to a public that values mobility;https://www.top100startups.swiss/EverdreamSoft;2013;1201;GE;6.146916502;46.21074039
79;Celeroton AG;Volketswil;Engineering;Ultra-highspeed electrical drive systems for renewable energy generation;https://www.top100startups.swiss/Celeroton;2013;8604;ZH;8.681473321;47.39421493
80;g2e glass2energy SA;Villaz-St-Pierre;Cleantech;Dye sensitized solar cells;https://www.top100startups.swiss/g2e;2013;1690;FR;6.962149892;46.72091606
81;Geosatis SA;Le Noirmont;Engineering;GPS ankle bracelet;https://www.top100startups.swiss/Geosatis;2013;2340;JU;6.943804949;47.21522387
82;UrbanFarmers AG;ZÃ¼rich;Cleantech;Urban farms in acant urban areas to provide organic, healthy and local food to its communities;https://www.top100startups.swiss/UrbanFarmers;2013;8002;ZH;8.532739248;47.36007156
83;Numab Therapeutics AG;Wädenswil;Biotech;Innovates and develops antibody-based therapeutics;https://www.top100startups.swiss/Numab;2013;8820;ZH;8.65959802;47.22388408
84;Pix4D SA (acquired by Parrot);Lausanne;ICT;Automatically combine images from mobile cameras and create 2D and 3D models;https://www.top100startups.swiss/Pix4D;2013;1011;VD;6.643319582;46.52555634
85;SUSI Partners AG;ZÃ¼rich;Fintech;Financing the future energy infrastructure;https://www.top100startups.swiss/SUSI;2013;8002;ZH;8.532739248;47.36007156
86;ILAND green technologies SA;Neuchatel;Cleantech;Autonomous and portable solar generators;https://www.top100startups.swiss/ILAND;2013;2000;NE;6.941331265;46.98844504
87;Upicto GmbH (acquired by Logitech);ZÃ¼rich;ICT;Video processing technology for automatic summarization and event detection.;https://www.top100startups.swiss/upicto;2013;8002;ZH;8.532739248;47.36007156
88;DAHU Sports Company Ltd.;Fribourg;Engineering;Innovative ski boots / a game changer for the whole industry;https://www.top100startups.swiss/DAHU;2013;1700;FR;7.163625853;46.80665808
89;42matters AG ;Zurich;ICT;App Intelligence as SaaS;https://www.top100startups.swiss/42matters;2013;8001;ZH;8.541734555;47.37208749
90;Advanced Osteotomy Tools - AOT AG;Basel;Medtech;Cutting bones with laser;https://www.top100startups.swiss/AOT;2013;4051;BS;7.586450708;47.55404534
91;Aeon Scientific AG;Schlieren;Medtech;Electromagnetic guidance of medical instruments in the human body;https://www.top100startups.swiss/Aeon;2013;8952;ZH;8.449001596;47.39503416
92;Slyde Watch SA;Luins;Engineering;The SLYDE concept is a revolutionary watchmaking experiment combining a high-technology product and an internet platform.;https://www.top100startups.swiss/Slyde;2013;1184;VD;6.275362599;46.44145879
93;AVK systems SA;Lausanne;ICT;Solution suite for broadcast of  Sport audio content.;https://www.top100startups.swiss/AVK;2013;1011;VD;6.643319582;46.52555634
94;Imina Technologies SA;Lausanne;Engineering;World's smallest commercial nanomanipulators;https://www.top100startups.swiss/Imina;2013;1011;VD;6.643319582;46.52555634
95;PRECLIN Biosystems SA ;Epalinges;Biotech;In vivo preclinical testing platform;https://www.top100startups.swiss/Preclin;2013;1066;VD;6.668508946;46.55070386
96;Uepaa AG;ZÃ¼rich;ICT;The industry-leading Safety and Proximity Expert;https://www.top100startups.swiss/Uepaa;2013;8002;ZH;8.532739248;47.36007156
97;Ethical Skin Care SA (zilooa.com);Neuchatel;Medtech;Cosmetology in harmony with the environment;https://www.top100startups.swiss/KNLN-Innovation;2013;2000;NE;6.941331265;46.98844504
98;Amphasys AG;Root D4;Engineering;Single cell analysis based on impedance flow cytometry;https://www.top100startups.swiss/Amphasys;2013;6039;LU;8.373303162;47.10311738
99;AirWinder Suisse SÃ rl ;;Engineering;ZERO-maintenance pneumatic bicycle tires;https://www.top100startups.swiss/AirWinder;2013;#NV;#NV;#NV;#NV
100;Bluetector AG;Root;Cleantech;Manure Treatment;https://www.top100startups.swiss/Bluetector;2013;6037;LU;8.392787919;47.1113473
1;HouseTrip SA ;London;ICT;Online marketplace for holiday rentals.;https://www.top100startups.swiss/HouseTrip;2012;#NV;#NV;#NV;#NV
2;InSphero AG;Schlieren;Biotech;Market leader in 3D cell culture;https://www.top100startups.swiss/InSphero;2012;8952;ZH;8.449001596;47.39503416
3;GetYourGuide AG;ZÃ¼rich;ICT;Booking website for tours and activities;https://www.top100startups.swiss/GetYourGuide;2012;8002;ZH;8.532739248;47.36007156
4;Malcisbo AG;Schlieren;Biotech;Platform to identify carbohydrate targets in pathogenic organisms;https://www.top100startups.swiss/Malcisbo;2012;8952;ZH;8.449001596;47.39503416
5;BioVersys AG;Basel;Biotech;Novel antibacterial therapies - new targets;https://www.top100startups.swiss/BioVersys;2012;4051;BS;7.586450708;47.55404534
6;Optotune AG;Dietikon;Engineering;Inexpensive, scalable, precisely focus tunable lenses based;https://www.top100startups.swiss/Optotune;2012;8953;ZH;8.398064875;47.40203665
7;Abionic SA;Epalinges;Medtech;The revolutionary in vitro diagnostic point-of-care platform;https://www.top100startups.swiss/Abionic;2012;1066;VD;6.668508946;46.55070386
8;Lemoptix SA;Lausanne;Engineering;Development of next generation optical MEMS (micro-electro-mechanical systems) for mobile applications.;https://www.top100startups.swiss/Lemoptix;2012;1011;VD;6.643319582;46.52555634
9;Dacuda AG ;ZÃ¼rich;ICT;Scanning redefined;https://www.top100startups.swiss/Dacuda;2012;8002;ZH;8.532739248;47.36007156
10;Bcomp AG;Fribourg;Cleantech;Superior products from natural fibers;https://www.top100startups.swiss/Bcomp;2012;1700;FR;7.163625853;46.80665808
11;Biognosys AG;Schlieren;Biotech;New standard in multiplexed protein quantification;https://www.top100startups.swiss/Biognosys;2012;8952;ZH;8.449001596;47.39503416
12;Kandou Bus SA;Lausanne;Engineering;Low power consumption chip connections;https://www.top100startups.swiss/Kandou;2012;1011;VD;6.643319582;46.52555634
13;ProteoMediX AG;Schlieren;Biotech;Markers for prostate cancer;https://www.top100startups.swiss/ProteoMediX;2012;8952;ZH;8.449001596;47.39503416
14;Climeworks AG;ZÃ¼rich;Cleantech;Capturing CO2 from air;https://www.top100startups.swiss/Climeworks;2012;8002;ZH;8.532739248;47.36007156
15;joiz AG;ZÃ¼rich;ICT;This television station, which links the world of TV with Web 2.0 and targets viewers between the ages of 15 and 35, has gotten off to a good start.;https://www.top100startups.swiss/joiz;2012;8002;ZH;8.532739248;47.36007156
16;QualySense AG;Glattbrugg;Engineering;Sorting robot for grains, seeds and beans;https://www.top100startups.swiss/QualySense;2012;8152;ZH;8.562910786;47.43319518
17;Poken SA (acquired by GES);Lausanne;ICT;Collect people and things with a touch;https://www.top100startups.swiss/Poken;2012;1011;VD;6.643319582;46.52555634
18;L.E.S.S. SA;Renens;Cleantech;Nano active fiber lighting systems;https://www.top100startups.swiss/LESS;2012;1020;VD;6.589670167;46.53527951
19;SWISSto12 SA;Renens;Engineering;Disruptive antenna systems for the telecoms industry.;https://www.top100startups.swiss/SWISSto12;2012;1020;VD;6.589670167;46.53527951
20;Lightbend SÃ rl (Typesafe);Lausanne;ICT;Scala programming language;https://www.top100startups.swiss/Lightbend;2012;1011;VD;6.643319582;46.52555634
21;Aleva Neurotherapeutics SA;Lausanne;Medtech;Better therapies for neurological diseases;https://www.top100startups.swiss/Aleva;2012;1011;VD;6.643319582;46.52555634
22;AÃ¯mago SAÂ  (acquired by Novadaq);Lausanne;Medtech;Taking the Guesswork out of Tissue Perfusion Assessment.;https://www.top100startups.swiss/Aimago;2012;1011;VD;6.643319582;46.52555634
23;Silp AG (acquired by x28);Thalwil;ICT;Silp gleicht Jobs mit deinen Interessen und deinem sozialen Netzwerk ab, um die besten Angebote fÃ¼r dich zu finden.;https://www.top100startups.swiss/Silp;2012;8800;ZH;8.567626633;47.29167516
24;Attolight SA;Lausanne;Engineering;Ultrafast spectroscopy for NanoPhotonics;https://www.top100startups.swiss/Attolight;2012;1011;VD;6.643319582;46.52555634
26;Celeroton AG;Volketswil;Engineering;Ultra-highspeed electrical drive systems for renewable energy generation;https://www.top100startups.swiss/Celeroton;2012;8604;ZH;8.681473321;47.39421493
27;Coatmaster AG;Winterthur;Engineering;Measuring industrial coatings;https://www.top100startups.swiss/Coatmaster;2012;8405;ZH;8.776009743;47.47804737
28;Biocartis SA;Lausanne;Biotech;Molecular diagnostics platform;https://www.top100startups.swiss/Biocartis;2012;1011;VD;6.643319582;46.52555634
29;Koemei SA ;Martigny;ICT;Worldâ€™s first cloud based speech recognition solution specifically designed for multiparty conversations;https://www.top100startups.swiss/Koemei;2012;1920;VS;7.074542101;46.1094551
30;UrbanFarmers AG;ZÃ¼rich;Cleantech;Urban farms in acant urban areas to provide organic, healthy and local food to its communities;https://www.top100startups.swiss/UrbanFarmers;2012;8002;ZH;8.532739248;47.36007156
31;Searchbox SA;;ICT;Semantic engine software.;https://www.top100startups.swiss/Searchbox;2012;#NV;#NV;#NV;#NV
32;Limmex;ZÃ¼rich;Engineering;Bringing women's health to the 21st century;https://www.top100startups.swiss/Limmex;2012;8002;ZH;8.532739248;47.36007156
33;Credentis AG;Windisch;Medtech;Treating initial caries without drilling;https://www.top100startups.swiss/Credentis;2012;5210;AG;8.222148838;47.47585335
34;Jilion SA (acquired by Dailymotion);Lausanne;ICT;The creator of SublimeVideo, the world's first cloud-based HTML5 video player.;https://www.top100startups.swiss/Jilion;2012;1011;VD;6.643319582;46.52555634
35;Uepaa AG;ZÃ¼rich;ICT;The industry-leading Safety and Proximity Expert;https://www.top100startups.swiss/Uepaa;2012;8002;ZH;8.532739248;47.36007156
36;VirtaMed AG;Schlieren;Medtech;Simulators for medical training and education;https://www.top100startups.swiss/VirtaMed;2012;8952;ZH;8.449001596;47.39503416
37;Swisstom AG ;Landquart;Medtech;Medical devices to monitor the lung and heart function of patients;https://www.top100startups.swiss/Swisstom;2012;7302;GR;9.577188353;46.96162552
38;Coople (Schweiz) AG ;ZÃ¼rich;ICT;Internet platform for the efficient management of short notice and short-term work assignments;https://www.top100startups.swiss/Coople;2012;8002;ZH;8.532739248;47.36007156
39;Lotaris SA;Yverdon-les-Bains;ICT;A thinking mobile app environment.;https://www.top100startups.swiss/Lotaris;2012;1400;VD;6.638517507;46.77623872
40;StereoTools SA;Neuchatel;Medtech;Guide for needle or electrode placement during stereotactic neurosurgery.;https://www.top100startups.swiss/StereoTools;2012;2000;NE;6.941331265;46.98844504
41;compliant concept AG;Fehraltorf;Medtech;New solution for the therapy and prevention of pressure ulcers;https://www.top100startups.swiss/Compliant;2012;8320;ZH;8.750000375;47.38704552
42;THELKIN GmbH;Winterthur;Medtech;Characterization of orthopaedic implants and other medical devices;https://www.top100startups.swiss/THELKIN;2012;8405;ZH;8.776009743;47.47804737
43;Advanced Osteotomy Tools - AOT AG;Basel;Medtech;Cutting bones with laser;https://www.top100startups.swiss/AOT;2012;4051;BS;7.586450708;47.55404534
44;Stemergie Biotechnology SA;Geneva;Biotech;Targeting the roots of cancer in developing treatments and diagnostics;https://www.top100startups.swiss/Stemergie;2012;1208;GE;6.167579743;46.19844394
45;Agile Wind Power AG;DÃ¼bendorf;Cleantech;Commercial on-site power generation via wind energy;https://www.top100startups.swiss/Agile;2012;8600;ZH;8.620237176;47.39367006
46;c-crowd AG;ZÃ¼rich;ICT;Online lending platform;https://www.top100startups.swiss/c-crowd;2012;8002;ZH;8.532739248;47.36007156
47;Goodshine AG (acquired by Ringier);ZÃ¼rich;ICT;Swiss marketleader in online couponing;https://www.top100startups.swiss/deindeal;2012;8002;ZH;8.532739248;47.36007156
48;PRECLIN Biosystems SA ;Epalinges;Biotech;In vivo preclinical testing platform;https://www.top100startups.swiss/Preclin;2012;1066;VD;6.668508946;46.55070386
49;Zurich Instruments AG;ZÃ¼rich;Engineering;Instruments for dynamic signal analysis;https://www.top100startups.swiss/zurichinstruments;2012;8002;ZH;8.532739248;47.36007156
50;Koubachi ;Zurich;ICT;App to manage home plants;https://www.top100startups.swiss/Koubachi;2012;8001;ZH;8.541734555;47.37208749
51;ActLight SA;Ecublens;Engineering;Developing high performance photodetectors for mobile applications;https://www.top100startups.swiss/ActLight;2012;1024;VD;6.55861492;46.52883079
52;Aeon Scientific AG;Schlieren;Medtech;Electromagnetic guidance of medical instruments in the human body;https://www.top100startups.swiss/Aeon;2012;8952;ZH;8.449001596;47.39503416
53;Virometix AG;Schlieren;Biotech;Vaccines using its Synthetic Virus-Like Particle (SVLP) technology;https://www.top100startups.swiss/Virometix;2012;8952;ZH;8.449001596;47.39503416
54;THE ROKKER COMPANY AG;Widnau;Engineering;Protection jeans with innovative textiles;https://www.top100startups.swiss/ROKKER;2012;9443;SG;9.637592504;47.40070612
55;Atizo AG (acquired by Hyve);Bern;ICT;Virtual brainstorming platform with thousands of creative thinkers;https://www.top100startups.swiss/Atizo;2012;3004;BE;7.450025042;46.97530372
56;The Faction Collective;Le Chable;Engineering;We design, produce and sell premium skis and outerwear;https://www.top100startups.swiss/The-faction;2012;1934;VS;7.208969231;46.08201767
57;HYT SA;Neuchatel;Engineering;The hydro mechanical horlogists;https://www.top100startups.swiss/HYT;2012;2000;NE;6.941331265;46.98844504
58;Sensima Technology SA ;Gland;Engineering;Magnetic sensors on a micro-chip;https://www.top100startups.swiss/Sensima_Technology;2012;1196;VD;6.286690157;46.41041562
59;Run my Accounts AG;StÃ¤fa;Fintech;Online accounting platform;https://www.top100startups.swiss/RunMyAccounts;2012;8712;ZH;8.725428803;47.24088466
60;42matters AG ;Zurich;ICT;App Intelligence as SaaS;https://www.top100startups.swiss/42matters;2012;8001;ZH;8.541734555;47.37208749
61;Scandit AG;ZÃ¼rich;ICT;Smart Data Capture;https://www.top100startups.swiss/Scandit;2012;8002;ZH;8.532739248;47.36007156
62;Qvanteq AG;ZÃ¼rich;Medtech;Novel stent technologies to address and overcome clinical shortcomings;https://www.top100startups.swiss/Qvanteq;2012;8002;ZH;8.532739248;47.36007156
63;senseFly SA ;Lausanne;Robotics;Smart flying cameras;https://www.top100startups.swiss/senseFly;2012;1011;VD;6.643319582;46.52555634
64;Sherpany AG;ZÃ¼rich;ICT;Productive leadership meetings;https://www.top100startups.swiss/Sherpany;2012;8002;ZH;8.532739248;47.36007156
65;Imina Technologies SA;Lausanne;Engineering;World's smallest commercial nanomanipulators;https://www.top100startups.swiss/Imina;2012;1011;VD;6.643319582;46.52555634
66;CAScination AG;Bern;Medtech;Image-guided liver surgeries;https://www.top100startups.swiss/CAScination;2012;3004;BE;7.450025042;46.97530372
67;Sophia Genetics SA;Lausanne;Biotech;Democratizing Data-Driven Medicine;https://www.top100startups.swiss/Sophia;2012;1011;VD;6.643319582;46.52555634
68;BEN Energy AG;ZÃ¼rich;Cleantech;Socializing energy behavior;https://www.top100startups.swiss/BEN;2012;8002;ZH;8.532739248;47.36007156
69;Politnetz AG;ZÃ¼rich;ICT;Closely related idea of using Web 2.0 for politics;https://www.top100startups.swiss/Politnetz;2012;8002;ZH;8.532739248;47.36007156
70;Andiast Technolgoies GmbH (smartie.ch);ZÃ¼rich;ICT;Revolutionizing online insurance exchange;https://www.top100startups.swiss/smartie-ch;2012;8002;ZH;8.532739248;47.36007156
71;Ampard AG ;ZÃ¼rich;Cleantech;Control- and asset-management system to realize complex decentralized storage solutions;https://www.top100startups.swiss/Ampard;2012;8002;ZH;8.532739248;47.36007156
72;Gastros Switzerland AG;Zurich;Foodtech;Innovative system induction based in order to keep food warm at a buffet;https://www.top100startups.swiss/Gastros;2012;8001;ZH;8.541734555;47.37208749
73;FashionFriends AG (acquired by Tamedia);Langenthal;ICT;Online platform for local fashion designers.;https://www.top100startups.swiss/FashionFriends;2012;4900;BE;7.79458803;47.21581573
74;Sandbox AG;ZÃ¼rich;ICT;Some organizations incubate companies - we incubate people.;https://www.top100startups.swiss/Sandbox;2012;8002;ZH;8.532739248;47.36007156
75;RouteRank SA;Lausanne;ICT;IT solutions for travel and mobility;https://www.top100startups.swiss/RouteRank;2012;1011;VD;6.643319582;46.52555634
76;Pix4D SA (acquired by Parrot);Lausanne;ICT;Automatically combine images from mobile cameras and create 2D and 3D models;https://www.top100startups.swiss/Pix4D;2012;1011;VD;6.643319582;46.52555634
77;Andrew Alliance SA ;Vernier;Medtech;Androids for liquid handling;https://www.top100startups.swiss/AndrewAlliance;2012;1214;GE;6.079550421;46.21390365
78;GEROCO SA;Martigny;Cleantech;Helping people managing their home energy consumption;https://www.top100startups.swiss/GEROCO;2012;1920;VS;7.074542101;46.1094551
79;QGel SA;Lausanne ;Biotech;A novel hydrogel material;https://www.top100startups.swiss/QGel;2012;1005;VD;6.643190762;46.5217265
80;Pandora Underwater Equipment SA;Lausanne;Engineering;Diving devices for automated control of divers' ascent rate to increase safety;https://www.top100startups.swiss/PandoraUnderwaterEquipment;2012;1011;VD;6.643319582;46.52555634
81;kringlan composites AG;Otelfingen;Engineering;Development of high-performance thermoplastic composites.;https://www.top100startups.swiss/kringlan;2012;8112;ZH;8.389699744;47.46452534
82;Adello AG;ZÃ¼rich;ICT;Our mission is to quantify the drivers of physical business.;https://www.top100startups.swiss/Adello;2012;8002;ZH;8.532739248;47.36007156
