,name,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,incorporated,long description,company_website,link
387,Qvanteq AG,Medtech,Cardiovascular,Medtech,,,,,,,,,,,,,,,,,,,January 2009,"Qvanteq develops novel stent technologies to address and overcome the clinically adverse effects of today’s available coronary artery stents. A coronary stent is a small (metal) mesh tube which is being implanted into coronary arteries to prevent heart attacks. Qvanteq is ISO 13485 certified. It is a spin-off company from the Swiss Federal Institute of Technology (ETH) Zurich. The company was awarded with the CTI start-up label in 2012. Qvanteq was founded in early 2009 and is held by private investors. Its Headquarter is located at the Technopark in Zurich, Switzerland.",http://www.qvanteq.com,https://www.top100startups.swiss/Qvanteq
388,CoreMedica ,Biotech,,,,,,,,,,,,,,,,,,,,,March 2013,BioKaizen is a private company dedicated to the evualuation of Biomarkers of diseases.,https://www.coremedicalabs.com/about-us-2/,https://www.top100startups.swiss/BioKaizen
389,Sanovation AG,ICT,Consumer,Education,Diagnostics,Healthcare infrastructure,Mobile,Social networks,Software,Patient monitoring,,,,,,,,,,,,,May 2010,"One out of five adults suffers from chronic pain and half of those patients have been suffering for more than 7 years. Our goal: If a patient finally finds a satisfying solution, all similar patients should be able to benefit from this solution, as well. To reach this goal, Sanovation is developing the intelligent pain diary CatchMyPain, which allows the detailed description and tracking of chronic pain. Based on the diaries, CatchMyPain identifies clusters (groups) of similar patients. Besides allowing the interaction between similar patients in a homogeneous community, CatchMyPain is going to identify the most probable diagnoses and the most promising treatments for each cluster. This empiric information will be provided to doctors and patients in order to increase the efficiency of chronic pain treatments and to improve the quality of life of millions of patients worldwide. Watch our product video on: http://www.catchmypain.com/",,https://www.top100startups.swiss/Sanovation
390,Andrew Alliance SA ,Medtech,Instruments,Robotics,Medical devices,,,,,,,,,,,,,,,,,,March 2011,"Andrew Alliance mission: innovate liquid handling filling the gap between manual pipetting and conventional lab automation robotics, by introducing modern benchtop and transportable androids presenting extreme ease of use and providing a pleasant service to the customer.",http://www.andrewalliance.com,https://www.top100startups.swiss/AndrewAlliance
391,compliant concept AG,Medtech,Healthcare infrastructure,Patient monitoring,Wound management,,,,,,,,,,,,,,,,,,June 2009,The steadily growing number of elderly and han-dicapped people and the costs related to this trend will be one of the challenges of this and future generations. COMPLIANT CONCEPT offers a new solution for the prevention and therapy of pressure ulcers allowing an improvement of the quality of treatment at lower costs.,http://www.compliant-concept.ch,https://www.top100startups.swiss/Compliant
392,SmartCardia SA,Medtech,Energy efficiency,Cardiovascular,Patient monitoring,,,,,,,,,,,,,,,,,,October 2013,"We have developed an ultra-small portable cardiac monitoring device and software that is a leap forward compared to today's bulky patient worn ECG monitors. The device continuously records and transmits the ECG data to a smart phone and from there to a hospital center or directly to the doctor. We have developed complex algorithms that can automatically detect dangers in the heart beat, such as the different arrhythmia events. These algorithms are directly embedded on a smart wearable ECG monitoring device and can automatically trigger a warning to the doctor/hospital in case of such events.",http://www.smartcardia.com/,https://www.top100startups.swiss/SmartCardia
393,OsmoBlue Sàrl,Cleantech,Energy efficiency,Renewable energy,,,,,,,,,,,,,,,,,,,February 2013,"OsmoBlue provides industries a sunstainable and profitable solution to recycle their waste heat and generate electricity. OsmoBlue's patented technology converts low-temperature heat, as low as 30°C, into electricity. The system is scalable and can produce hundreds of kW to tens of MW of electricity. OsmoBlue will help cement, paper and pulp and chemical industries make savings and reduce their carbon footprint.",,https://www.top100startups.swiss/OsmoBlue
394,ObsEva SA,Biotech,Drug discovery,,,,,,,,,,,,,,,,,,,,November 2012,ObsEva is developing a novel generation of drugs addressing serious conditions compromising pregnancy from conception to birth.,http://www.obseva.com,https://www.top100startups.swiss/ObsEva
395,Swiss Space Systems Holding SA,Engineering,Aviation and Aerospace,,,,,,,,,,,,,,,,,,,,October 2012,"Swiss Space Systems Holding SA is a Swiss company founded in 2012 in Payerne, grouping and overseeing the activities of its underlying companies. The objective of S3 as a group is to develop, manufacture, certify and operate suborbital spaceplanes for the deployment of small satellites up to 250 kg. The headquarters are located in Payerne, Switzerland, where the first flights will take place.",,https://www.top100startups.swiss/Swiss_Space
396,SwissLeg Sagl,Medtech,Orthopedics,,,,,,,,,,,,,,,,,,,,September 2012,"SwissLeg provides affordable advanced mobility to amputees using an innovative prosthetic design. It combines a simple manufacturing process with low-cost and readily available materials.SwissLeg focuses primarily on comfortably fitted below-knee (BK) and above-knee (AK) prosthetics at a competitive cost worldwide. The technology is appropriate for walking and running, and the most economical of its kind. Many have already benefitted from the Swissleg technology and we are proud to be the mobility solution for replacing legs and restoring smiles.",http://swissleg.com,https://www.top100startups.swiss/SwissLeg
397,BioVersys AG,Biotech,Drug development platforms,Drug discovery,Infection,Small molecule drugs,,,,,,,,,,,,,,,,,September 2008,"BioVersys AG is a privately owned Swiss pharmaceutical company focusing on research and development of small molecules acting on novel bacterial targets with applications in Anti-Microbial Resistance (AMR) and targeted microbiome modulation. With the companys award-winning TRIC technology we can overcome resistance mechanisms, block virulence production and directly affect the pathogenesis of harmful bacteria, towards the identification of new treatment options in the antimicrobial and microbiome fields. By this means BioVersys addresses the high unmet medical need for new treatments against life threatening resistant bacterial infections and bacteria-exacerbation chronic inflammatory microbiome disorders. Our most advanced R&D programs are in preclinical development for nosocomial infect",http://www.bioversys.com,https://www.top100startups.swiss/BioVersys
398,GetYourGuide AG,ICT,Consumer,Internet,,,,,,,,,,,,,,,,,,,February 2008,"GetYourGuide is the booking platform for incredible travel experiences. Powered by a global team of over 400 travel experts, GetYourGuide helps travelers find the best things to do wherever they’re headed — including skip-the-line tickets to the world’s most iconic attractions, walking tours by top local experts, immersive food and beverage tours, cooking and craft classes, bucket-list experiences and niche offerings you won’t find anywhere else. Since its founding in 2009, travelers from more than 170 countries have booked over 20 million tours, activities and attraction tickets through GetYourGuide. The company has offices in 14 countries around the world.",http://www.getyourguide.com,https://www.top100startups.swiss/GetYourGuide
399,Biognosys AG,Biotech,Bioinformatics,Biotech,Cancer,Diagnostics,Drug discovery,,,,,,,,,,,,,,,,September 2008,Biognosys mission is to bring Personalized Health Monitoring to everybody based on a disruptive invention that enables full proteome profiling. It is based on a novel mass spectrometric technology that allows simultaneous measurement and storage of the full proteome information in a digital protein map to monitor health and to preserve information for future advances in diagnostics and treatment.,http://www.biognosys.ch,https://www.top100startups.swiss/Biognosys
400,Lemoptix SA,Engineering,Electronics,Micro technologies,Media,,,,,,,,,,,,,,,,,,November 2008,"Lemoptix develops, sells and licenses next-generation micro-opto-electromechanical systems (MOEMS) - based laser scanning and microprojection technologies and products for professional and industrial applications. Lemoptix LSCAN laser scanning micromirrors are designed to be integrated by OEM (original equipment manufacturer) customers into a number of applications such as printers and industrial sensors, enhancing performances and enabling the development of smaller, higher resolution and lower cost products. Lemoptix MVIEW, world’s smallest laser microprojection systems are ideal for integration by OEMs and ODMs (original design manufacturers) into various demanding applications such as head-up displays in cars or mobile devices. Embedded MVIEW modules will enable the projection of content and information directly from the device on any nearby surface, enabling users to conveniently view and share information and content without the typical limitations of physical displays. Lemoptix is a spin-off from the renowned Swiss Federal Institute of Technology (EPFL, Ecole Polytechnique Fédérale de Lausanne), is based in Lausanne and grows within a world-leading cluster of micro- and nanotechnology companies and institutions. Lemoptix is backed by high-level private investors and the Go Beyond business angel group.",,https://www.top100startups.swiss/Lemoptix
401,Aleva Neurotherapeutics SA,Medtech,Nano technologies,Medtech,Surgery,,,,,,,,,,,,,,,,,,July 2008,Implantable Microelectrodes for Deep Brain Stimulation. Aleva Neurotherapeutics has developed a proprietary technology that enables significantly better therapies for a broad range of neurological diseases.,https://www.aleva-neuro.com/,https://www.top100startups.swiss/Aleva
402,Aïmago SA  (acquired by Novadaq),Medtech,Diagnostics,Imaging and Radiology,Patient monitoring,Surgery,Wound management,,,,,,,,,,,,,,,,August 2008,"Taking the Guesswork out of Perfusion Assessment: Aïmago's fast, non-invasive and intuitive microcirculation cameras empower surgeons and nurses to make objective and repeatable decisions based on the microcirculation reality. This adds clarity of vision even with the most difficult burn, plastic & reconstructive surgery cases - before, during & after surgery. Hospitals integrating our cameras into their daily workflows enhance quality, streamline cost-of-care and bring peace of mind to patients and clinicians.",https://www.stryker.com/,https://www.top100startups.swiss/Aimago
403,Parking Solutions GmbH (acquired by SBB),ICT,Mobile,Software,,,,,,,,,,,,,,,,,,,March 2012,Park-it is a marketplace that enables short-term rent of private  and corporate parking spots through a mobile phone app.,http://www.parkit.ch,https://www.top100startups.swiss/Parking
404,Adello AG,ICT,Big Data,Cloud,Mobile,Sensors,Services for companies,SaaS,,,,,,,,,,,,,,,May 2019,"We believe Mobile Marketing can be exceptional when it is tied to human behavior. We make marketing matter again, by understanding the who, when, where and how. We have been innovating (several patents) as #1 Mobile Technology company in Switzerland with ~20 awards and nominations for our cookieless and compliant way of processing petabytes of data in real-time. Leveraging our patented AI platform, we deliver outstanding mobile advertising campaigns with unmatched accuracy.",https://www.adello.com/,https://www.top100startups.swiss/Adello
405,Jilion SA (acquired by Dailymotion),ICT,Cloud,Consumer,Ecommerce,Enterprise,Media,Software,,,,,,,,,,,,,,,January 2009,"Jilion is the creator of SublimeVideo®, the world's first cloud-based HTML5 video player; a unique solution that delivers all of the benefits of HTML5 video with none of the associated complexity.",http://jilion.com,https://www.top100startups.swiss/Jilion
406,Gastros Switzerland AG,Foodtech,Electronics,Food,"OEM, Production",,,,,,,,,,,,,,,,,,December 2010,"With «InductWarm®» based on the most modern induction technology Gastros Switzerland redefines the way of how food can be kept warm. We offer a genuine alternative for professionals from the catering industry who like to feed their guests at modern, multi-functional and individually designed buffets. Our solutions are not only attractive regarding the buffet´s look – furthermore, they are economical, energy-efficient, hygienic, and easy to handle. Therefore, we were able to establish our company successfully in the market of fully invisible undercounter solutions for hot holding. We are convinced to be on the right track regarding product development and innovation which is confirmed by numerous awards as well as the considerable list of reference projects we realized worldwide so far.",https://www.gastros.swiss/home,https://www.top100startups.swiss/Gastros
407,THE ROKKER COMPANY AG,Engineering,Consumer products,Materials,,,,,,,,,,,,,,,,,,,January 2008,"Co-founders Michael Kuratli and Kai Glatt both enjoy riding motorcycles, preferably in jeans. That’s why they have launched special pants on the market whose insides consist of a breathable protective fabric that also repels wind and water - but the pants look like regular designer jeans, so that they fit all needs in regard of style, protection and comfort.",http://www.therokkercompany.com,https://www.top100startups.swiss/ROKKER
408,Limmex,Engineering,Big Data,Consumer,Digital Health,Diagnostics,Medical devices,Medtech,Patient monitoring,Wearable technologies,,,,,,,,,,,,,September 2014,"This company develops personal safety solutions for Swiss watches so they can do far more than just display the time. The company’s potential is emphatically reflected in its Board of Directors, which includes Phonak founder Andy Rihs along with René Braginsky, one of Switzerland’s best known investors.",http://www.limmex.com/,https://www.top100startups.swiss/Limmex
409,Mabimmune AG (merged with Neurimmune),Biotech,Antibodies,Biotech,Cancer,Drug development platforms,Drug discovery,Inflammation,Protein drugs,,,,,,,,,,,,,,August 2010,"Immune agonists show promising efficacy in solid tumor indications. However, dose-limiting toxicity liabilities due to on-target off-tumor binding limit their efficacy. Mabimmune’s Reverse Translational Medicine (RTM) human monoclonal antibodies bind neo-epitopes unique the tumor microenvironment but not other tissues. Generated in humans and cloned directly from human genes, RTM antibodies have fully human germline sequences and thereby offer the lowest toxicity, off-tumor sinking, and immunogenicity risk of any other antibody class.  Mabimmune is developing immune agonists from the RTM platform designed to offer best-in-class therapeutic indices.",http://www.mabimmune.com,https://www.top100startups.swiss/Mabimmune
410,Credentis AG,Medtech,Biomaterials,Nano technologies,,,,,,,,,,,,,,,,,,,February 2008,"credentis mission is to develop and commercialize a novel enamel/dentin remineralisation system which will revolutionize the treatment of small caries lesions and related illnesses and needs, providing dentists with an efficient tool in tooth remineralisation and helping patients to protect and regenerate their teeth.",http://www.credentis.com,https://www.top100startups.swiss/Credentis
411,YouRehab,Medtech,Gaming,Healthcare infrastructure,Robotics,,,,,,,,,,,,,,,,,,April 2010,"YouRehab creates products and services which enable patients undergoing rehabilitation to improve their own independence and enjoyment of life. Our products enhance the rehabilitation experience to make it more enjoyable and intuitive, with an emphasis on motivating and challenging the patient.",https://reha-stim.com/,https://www.top100startups.swiss/YouRehab
412,Sensima Technology SA ,Engineering,Micro technologies,Semiconductors,,,,,,,,,,,,,,,,,,,November 2008,"Sensima Technology is a fabless semiconductor company which develops and designs CMOS magnetic sensors, completely integrated on a chip, in particular for position sensing.",http://www.sensimatech.com,https://www.top100startups.swiss/Sensima_Technology
413,Smixin AG,Cleantech,Air and Environment,,,,,,,,,,,,,,,,,,,,December 2009,The SMIXIN™ hand washing system offers a new sensitivity to water and hygiene: it reduces water consumption by 90% and ensures repeatable and controllable hygiene level.,http://www.smixin.com,https://www.top100startups.swiss/Smixin
414,Stemergie Biotechnology SA,Biotech,Cancer,Drug development platforms,Drug discovery,,,,,,,,,,,,,,,,,,December 2009,"Stemergie has developed and validated a proprietary cutting-edge cancer stem cells (CSCs) technology platform for brain tumor and potentially further cancer indications. The technology allows the unbiased identification, validation and development of treatments against these CSC.",http://www.stemergie.com,https://www.top100startups.swiss/Stemergie
415,Zurich Instruments AG,Engineering,Electronics,Diagnostics,Instruments,Micro technologies,Nano technologies,Imaging and Radiology,,,,,,,,,,,,,,,April 2008,"Zurich Instruments makes lock-in amplifiers, phase-locked loops and impedance spectroscopes that have revolutionized instrumentation in the high frequency (HF) and ultra-high frequency (UHF) ranges by combining frequency-domain tools and time-domain tools within each product. This reduces the complexity of laboratory setups, removes sources of problems and provides new measurement approaches that support the progress of research.",http://www.zhinst.com,https://www.top100startups.swiss/zurichinstruments
416,SAV-IOL SA,Medtech,Materials,,,,,,,,,,,,,,,,,,,,July 2009,"SAV-IOL SA (Swiss Advanced Vision - Intraocular Lens) designs, manufactures and distributes a new generation of intraocular lenses, for cataract surgery with refractive properties, based on an exclusive patent.",http://www.sav-iol.com,https://www.top100startups.swiss/SAV-IOL
417,greenTEG AG,Cleantech,Air and Environment,Energy efficiency,Consumer,Electronics,Micro technologies,Nano technologies,"OEM, Production",Sensors,Medical devices,Medtech,Tackle COVID-19,Patient monitoring,Wearable technologies,,,,,,,,July 2009,"greenTEG develops, manufactures, and markets thermal sensor solutions for heat flux and laser power/position measurements and provides consulting on the thermal integration of its products. These solutions are available for both research and industry purposes, including applications in the fields of R&D, building and Wearables.  greenTEG’s latest launch is the world's first non-invasive and continuous core body temperature monitoring solution aimed at the Sports endurance market, branded as “CORE”. The underlying technology, available under license to other 3rd party OEMs, is branded as CALERA® and is ready to be embedded in any wearable or MedTech device in the fields of sports, healthcare and wellness (customers like Myant Inc. launched their products in 2021, and many will in 2022).",http://www.greenteg.com,https://www.top100startups.swiss/greenTEG
418,Koubachi ,ICT,Consumer products,Applications,Consumer,Sensors,Mobile,Wireless,Software,,,,,,,,,,,,,,May 2009,"Koubachi - a spin-off from ETH Zurich - brings the Internet of Things (IoT) to the plant space in the home & garden. The company develops disruptive technology to make plant care better and more easy. Koubachi's products include Wi-Fi Plant Sensors (Indoor/ Outdoor/ Pro) and a free Plant Care App. The app integrates sensor measurements, plant knowledge, weather, location, user preferences and more. The products tell the users when and how to care for their plants. Further innovations are in the works. Koubachi is currently getting to expand their product line and leadership powered by a Series B investment round.",http://www.koubachi.com,https://www.top100startups.swiss/Koubachi
419,LogoGrab Sagl,ICT,Consumer,Enterprise,Software,,,,,,,,,,,,,,,,,,September 2012,"LogoGrab connects consumers with brands by simply scanning logos, wherever seen. Today we search and access brand and product information primarily over the Internet, especially with our smartphones. LogoGrab’s technology allows brands to use their existing logo, wherever already printed, to share online content. This platform is as revolutionary as simple to use. The consumer simply needs to take a picture of a brand’s logo, wherever seen, to access online content shared by the brand (products sale, promotions, etc.). Traditional communication methods remain fundamental to build brand awareness (billboards, adv, in-store, etc.) and LogoGrab connects all these to online content without requiring any adaptation, but simply using the already available brand logo. Furthermore this technology allows to instantly monitor the effectiveness of the advertisement and marketing spending in order to reactively reallocate budgets to increase profits and sales. LogoGrab is based on proprietary and patented image recognition technology. Our technology is also used for professional applications such as mass logo detection within large databases of images and videos.",,https://www.top100startups.swiss/LogoGrab
420,Searchbox SA,ICT,Software,,,,,,,,,,,,,,,,,,,,July 2009,"Searchbox SA is a software company specialized in text analytics, semantic search technologies, and content intelligence, with strong areas of expertise in cognitive sciences, data mining and computer sciences. Through its innovative technology, Searchbox transforms raw texts into smart content and fundamentally changes the way users can access, find, match or mine information. Founded in 2009 – formerly called salsadev – Searchbox is headquartered in Geneva, Switzerland, and is active primarily in Europe and North America. Our partners and customers include specialized legal institutions, research organisations, public administrations and CMS/ECM companies.",http://www.searchbox.com,https://www.top100startups.swiss/Searchbox
421,Lotaris SA,ICT,Mobile,Software,,,,,,,,,,,,,,,,,,,April 2008,"Lotaris is known for its platform that helps software companies to license mobile applications. But what about the company behind the platform? Lotaris is built around a simple idea: we help software companies to follow their users. We know that the world of mobile apps is fast moving, and the most successful companies will be those who can adapt to changing needs and behaviours. We have technology and expertise that helps them to adapt. Lotaris was created by a management team that believes in four key principles: ° Simplicity ° Agility ° Deep Relationships ° Anticipation.",http://www.lotaris.ch,https://www.top100startups.swiss/Lotaris
422,Optotune AG,Engineering,Electronics,Mobile,,,,,,,,,,,,,,,,,,,February 2008,"When hard glass and plastic components reach their limits, elastic polymer-based materials might be your solution! As a pioneer in adaptive optics, Optotune offers a range of tunable optical devices that help you develop products with novel key features. Our experts support you in adding versatility, compactness and fast response to your optical systems.",http://www.optotune.com,https://www.top100startups.swiss/Optotune
423,Iprova Sàrl,ICT,Software,,,,,,,,,,,,,,,,,,,,July 2010,"With support from the CTI, Iprova has developed highly disruptive software which allows patentable inventions to be generated about 100 times more efficiently than alternative techniques. We sell these inventions to our customers, who then have an improved probability of filing commercially valuable patents ahead of their competitors.  Our ""Beta release"" customers include market leaders in sectors including Oil & Gas, mobile devices, industrial products and automotive.",https://www.iprova.com/,https://www.top100startups.swiss/Iprova
424,Attolight SA,Engineering,Materials,Micro technologies,Nano technologies,,,,,,,,,,,,,,,,,,March 2008,"Attolight AG develops innovative characterization tools and solutions for research laboratories and the semiconductor industry. Attolight’s innovative combination of electron and light microscopy reveals ultra-trace impurities and crystallographic defects not visible using other imaging techniques. The core expertise of Attolight is a measurement technique called cathodoluminescence, a non-destructive characterization method yielding a level of data that provides a deeper understanding of material structures and properties. Attolight addresses a variety of applications: LED performance and reliability, GaN power transistors, deep UV emitters, solar cell efficiency, plasmonics, geology, and biosensors. Attolight invented and launched the first quantitative cathodoluminescence system in 2011 offering a spatial resolution below 10nm, a field of view of 300µm, and an optional 10ps time resolution mode. Attolight also has laboratory facilities and testing capabilities available for contract service measurements.",https://attolight.com/,https://www.top100startups.swiss/Attolight
425,SuitArt AG ,ICT,Materials,,,,,,,,,,,,,,,,,,,,June 2009,"The suit made to measure - show personality and carry conviction right from the very beginning. Custom-made suits - fair manufactured, for a good conscience.",http://www.suitart.com,https://www.top100startups.swiss/SuitArt
426,Elmove AG,Cleantech,Mobility,,,,,,,,,,,,,,,,,,,,March 2009,elmove develops and produces powerful and perfect to control power trains for the electric propulsion of two and three wheele vehicles.,http://www.elmove.com,https://www.top100startups.swiss/Elmove
427,Koemei SA ,ICT,,,,,,,,,,,,,,,,,,,,,November 2010,We provide the world’s first cloud based speech recognition solution specifically designed for multiparty conversations.,http://www.koemei.com,https://www.top100startups.swiss/Koemei
428,EverdreamSoft SA,ICT,Blockchain,Gaming,Media,Mobile,Software,,,,,,,,,,,,,,,,November 2010,"EverdreamSoft is a Swiss-based company specialised in the development of online trading card games giving the possibility for the community of players to interact and help on the development of the game.  The vision of EverdreamSoft is to bring New Technologies to the world of entertainment and design. Media consumption patterns are changing very rapidly with the arrival of the Internet and, more recently, smartphones. As a passionate young tech start-up, EverdreamSoft sees this booming new market as a huge opportunity.  Taking advantage of the gap left by traditional large firms, who are often slow to adapt to changes, the company provides simple, innovative and ergonomic products adapted to a new generation of highly mobile consumers.",http://www.everdreamsoft.com,https://www.top100startups.swiss/EverdreamSoft
429,Celeroton AG,Engineering,Automotive,Energy efficiency,Aviation and Aerospace,Electronics,Renewable energy,Mechanics,,,,,,,,,,,,,,,September 2008,"Already during his PhD at ETH Zurich, co-founder Dr. Christof Zwyssig realized an electric drive system with the world-record speed of 1 million revolutions per minutes with distinctive advantageous for various applications. Over the last three years Celeroton’s product portfolio has constantly grown. Since last year the high-tech company, which is headquartered at Technopark Zurich, also offers miniature turbocompressors with maximum speeds. These turbocompressors with dimensions and weights of up to 50 times less than conventional systems allow for outstanding solutions in terms of compactness, light weight and high energy efficiency for various applications, such as compressors for heating, ventilation and air conditioning (HVAC) in future electric or hybrid cars and in household appliances as well as for air supply in fuel cell systems. The products are sold worldwide and Celeroton has several ongoing projects with companies in Europe, Asia and the US.",http://www.celeroton.com,https://www.top100startups.swiss/Celeroton
430,g2e glass2energy SA,Cleantech,Energy efficiency,Renewable energy,"Smart Power, Green Grid",,,,,,,,,,,,,,,,,,November 2011,"Glass 2 Energy Ltd, a newly established Swiss company, has acquired a DSC licence of a new type of photovoltaic cell, based on advances made by Professor Grätzel of the Swiss Federal Institute of Technology in Lausanne (EPFL). The technology of dye synthesized solar cells is often referred to as artificial photosynthesis, analogous to chlorophyll in leafs, where a sensitized dye absorbs light and generates excited electrons. These electrons are injected into and transported via the conduction band of a high surface area semiconductor. These cells are thin film devices that use a nanocrystalline carrier layer made of titanium dioxide (TiO2) whose surface is chemically bonded with a monolayer of light-absorbing dye molecules. A small amount of gel electrolyte is used for the transport of the carriers.",,https://www.top100startups.swiss/g2e
431,SUSI Partners AG,Fintech,Consumer products,Cleantech,Consulting services,Consumer,,,,,,,,,,,,,,,,,August 2009,"SUSI supports qualified investors with investments in solar and wind parks in Europe, energy efficiency retrofits of existing infrastructure and energy storage capacity. The SUSI advised funds are guided by the following principles:     - attractive and stable annual distributions    - minimal correlation to traditional asset classes    - low risk and measurable sustainable impact SUSI advises Sustainable Sàrl to deliver investment vehicles that minimize risk, provide complete transparency, and enable investors to achieve consistent, reliable returns throughout the long-term.",http://www.susi-partners.ch,https://www.top100startups.swiss/SUSI
432,ILAND green technologies SA,Cleantech,Energy production,Renewable energy,"Smart Power, Green Grid",,,,,,,,,,,,,,,,,,July 2008,"ounded in 2008, ILAND green technologies SA (hereafter referred to as ILAND) offers ‘turnkey’ packs of generators (no specific prior installation required) and integrated solutions in the sphere of solar systems and technology (awnings, solar pack for mobility, etc.). ILAND has based its product development research on the needs of professionals generally using fuel generators in their activities, on the definition of rural electrification projects in emerging countries, as well as on experiences from outdoor activities such as expeditions and explorations. Our product has found a natural use in security and rescue situations without access to electrical networks, such as civil defense, army, police, etc.",http://www.iland-solar.com,https://www.top100startups.swiss/ILAND
433,Upicto GmbH (acquired by Logitech),ICT,Media,Security,Software,,,,,,,,,,,,,,,,,,October 2011,Smart and simplified video processing. upicto is a spinoff of the Computer Vision Lab at ETH Zurich and provides technologies to analyze videos and alert in abnormal or particularly relevant cases. The software learns autonomously and improves over time. The main application focus is video surveillance.,http://www.upicto.com,https://www.top100startups.swiss/upicto
434,42matters AG ,ICT,Advertising,Applications,Enterprise,Internet,Marketplace,Mobile,SaaS,Software,,,,,,,,,,,,,May 2011,"AppStores are more complex than just Apple and Google. 42matters 1) collets data about 7m apps,2m publishers,90k charts,300m reviews,1000 SDKs, 2) analyzes this data with ML algorithms,and 3) exposes results via API and web Explorer. 42matters is a SaaS working with 200+ leading companies in mobile.",http://42matters.com,https://www.top100startups.swiss/42matters
435,Slyde Watch SA,Engineering,Consumer products,Electronics,Mechanics,,,,,,,,,,,,,,,,,,July 2010,"The Slyde concept is a revolutionary watchmaking experiment combining a high-technology product and an internet platform enabling the watch to be personalized while offering the opportunity to download new vitual mechanisms. FOR THE FIRST TIME, A WATCH ADOPTS THE BASIC PRINCIPLES OF “INTUITIVE TECHNOLOGIES” AND SUBLIMATES THEM INTO THE 21ST CENTURY WORLD OF HIGH-END WATCHMAKING. AS A REAL TECHNOLOGICAL FEAT, THE SLYDE FEATURES A TOUCH SCREEN, A CUTTING-EDGE GRAPHIC ENGINE AND A NAVIGATION SYSTEM OF UNEQUALLED SIMPLICITY AND CONVENIENCE.",https://www.hd3complication.com,https://www.top100startups.swiss/Slyde
436,AVK systems SA,ICT,Media,Sport,,,,,,,,,,,,,,,,,,,September 2009,"AVK systems SA, is a Swiss technology firm that has emerged as first to market with HD Audio solutions for the sport broadcasting industry though a suite of innovative products and managed services that deliver HD Audio for all forms of sport production (Live, Slow-motion replays, highlights and even archives).",https://www.avksystems.com/company.html,https://www.top100startups.swiss/AVK
437,PRECLIN Biosystems SA ,Biotech,Drug development platforms,,,,,,,,,,,,,,,,,,,,June 2008,Preclin Biosystems AG offers a comprehensive in vivo preclinical testing platform for the identification and validation of lead candidate therapeutics.,http://www.preclinbiosystems.com,https://www.top100startups.swiss/Preclin
438,Ethical Skin Care SA (zilooa.com),Medtech,Consumer products,Cosmetics,,,,,,,,,,,,,,,,,,,September 2011,"Zilooa Ethical Skin Care is based on the excellence and the perfection of Swiss cosmetology, innovative and aqua-friendly formulations established by the best specialists in skin care.",http://www.ethicalskincare.ch,https://www.top100startups.swiss/KNLN-Innovation
439,AirWinder Suisse Sàrl ,Engineering,Consumer,,,,,,,,,,,,,,,,,,,,n/a,"Veloreifen müsste man meist genau dann aufpumpen,wenn die Zeit gerade knapp ist. Mit Pumptire gehört das Pumpenbald der Vergangenheit an. Dies erledigt der Pneu selbst.Das Prinzip: Rund um den Schlauch des Veloreifens befindetsich eine Röhre, die während des Fahrens zusammengedrücktwird und so Luft in den Innenschlauch bringt.",,https://www.top100startups.swiss/AirWinder
440,Poken SA (acquired by GES),ICT,Electronics,Social networks,,,,,,,,,,,,,,,,,,,December 2007,"Poken is revolutionizing the event industry with its innovative and simple solutions to generate high quality leads, get unprecedented insight into people's interests, and boost networking between participants. We provide tools and technology for tradeshow managers, exhibitors and event organizers to create interactive and exciting events, while measuring the return on investment of their lead generation activities.",http://www.poken.com,https://www.top100startups.swiss/Poken
441,Silp AG (acquired by x28),ICT,Consumer,Social networks,,,,,,,,,,,,,,,,,,,August 2011,"Silp is the talent pool on Facebook. Silp matches jobs with your skills and the social graph to find the best opportunities for you. On Silp, you don’t need to search for jobs – your dream job will find you. Silp matches jobs with skills and interests by taking various criteria into account, such as the user’s professional information on Facebook (work, education, location, etc.), specified skills, interests, and job preferences. And since most people link to other sites from their Facebook profile, Silp can mine, parse, and extract skills and interests from other online profiles as well (like Twitter, Blog, Tumblr, LinkedIn, About.me, GitHub, Stackoverflow, Behance, Zerply, Dribbble, etc.). The matching improves over time as Silp learns from feedback mechanisms, such as a user’s reactions to suggested job offers. Silp also matches jobs with the social graph. It provides employers with the tools to identify potential candidates in their and their company’s network. When an employer posts a job vacancy, they, their co-workers and friends can see who in their extended network (friends and friends-of-friends) might be a good fit for the position. They can then recommend the job further or seek guidance, thus letting the job travel the social graph until the right candidates are found. Most people find jobs through their network of friend – Silp automates and supercharges this process. When a job match is found, users will be informed by email or by a Facebook message from a friend. Silp’s matching algorithm ensures users receive only jobs they’ll really want.",http://silp.com,https://www.top100startups.swiss/Silp
442,Biocartis SA,Biotech,Diagnostics,,,,,,,,,,,,,,,,,,,,July 2007,"Molecular diagnostics is presently a time-consuming process suited only for large laboratories. Biocartis is now bringing this analytical technology to smaller labs and hospitals with a simple and cost-effective technology. With it, illnesses ranging from infections to cancer can be detected earlier, faster and more reliably. This not only improves the chances of a cure but also reduces health care costs.www.biocartis.com",http://www.biocartis.com,https://www.top100startups.swiss/Biocartis
